Account Description,Size,Size Numeric,Strength (mg),WHO ATC 5 Code,Volume,Value,Year Month (after 2000),Year (after 2000),Month,Region_Hovedstaden,Region_Midtjylland,Region_Nordjylland,Region_Sjælland,Region_Syddanmark,Product_Cimzia,Product_Inflectra,Product_Remicade,Product_Remsima,Product_Stelara,Product_Zessly
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,19,160820.1,1001.0,10.0,1.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2096,9236652.8,1001.0,10.0,1.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,11,88919.05,1002.0,10.0,2.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2036,8972244.8,1002.0,10.0,2.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,14,113169.7,1003.0,10.0,3.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2512,11069881.6,1003.0,10.0,3.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,24,194005.2,1004.0,10.0,4.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2011,8862074.8,1004.0,10.0,4.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,10,80835.5,1005.0,10.0,5.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2599,11453273.2,1005.0,10.0,5.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,20,541492.4,1005.0,10.0,5.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5,135373.1,1005.0,10.0,5.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,34,274840.7,1006.0,10.0,6.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2020,8901736.0,1006.0,10.0,6.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,17,460268.54,1006.0,10.0,6.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,26,703940.12,1006.0,10.0,6.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,18,145503.9,1007.0,10.0,7.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,1998,8804786.4,1007.0,10.0,7.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,5,135373.1,1007.0,10.0,7.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,28,758089.36,1007.0,10.0,7.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,16,129336.8,1008.0,10.0,8.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2630,11589884.0,1008.0,10.0,8.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,15,406119.3,1008.0,10.0,8.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,10,270746.2,1008.0,10.0,8.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,19,153587.45,1009.0,10.0,9.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2010,8857668.0,1009.0,10.0,9.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,26,703940.12,1009.0,10.0,9.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,22,595641.64,1009.0,10.0,9.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,23,185921.65,1010.0,10.0,10.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2000,8813600.0,1010.0,10.0,10.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,7,189522.34,1010.0,10.0,10.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,14,379044.68,1010.0,10.0,10.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,20,161671.0,1011.0,10.0,11.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2103,9267500.4,1011.0,10.0,11.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,16,433193.92,1011.0,10.0,11.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,27,731014.74,1011.0,10.0,11.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,24,194005.2,1012.0,10.0,12.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2151,9479026.8,1012.0,10.0,12.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,30,812238.6,1012.0,10.0,12.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,21,568567.02,1012.0,10.0,12.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,20,161671.0,1101.0,11.0,1.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2510,11061068.0,1101.0,11.0,1.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1,27074.62,1101.0,11.0,1.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,17,460268.54,1101.0,11.0,1.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,18,145503.9,1102.0,11.0,2.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,1835,8086478.0,1102.0,11.0,2.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,6,162447.72,1102.0,11.0,2.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,21,568567.02,1102.0,11.0,2.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,22,177838.1,1103.0,11.0,3.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,2617,11532595.6,1103.0,11.0,3.0,True,False,False,False,False,False,False,True,False,False,False
4060 Centralapoteket. Region Hovedstaden,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,34,920537.08,1103.0,11.0,3.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,1 stk.  (0.5 ml),1.0,45.0,L04AC05,22,595641.64,1103.0,11.0,3.0,True,False,False,False,False,False,False,False,False,True,False
4060 Centralapoteket. Region Hovedstaden,2 stk.,2.0,200.0,L04AB05,19,153587.45,1104.0,11.0,4.0,True,False,False,False,False,True,False,False,False,False,False
4060 Centralapoteket. Region Hovedstaden,1 htgl. a 100 mg,100.0,100.0,L04AB02,1599,7046473.2,1104.0,11.0,4.0,True,False,False,False,False,False,False,True,False,False,False
