,Account Description ID,Type,Account Description,Size,Size Numeric,Strength (mg),WHO ATC 5 Code,Volume,Value,Year Month (after 2000),Year Month (after 2000) in Datetime,Region_Hovedstaden,Region_Midtjylland,Region_Nordjylland,Region_Sjælland,Region_Syddanmark,Product_Cimzia,Product_Inflectra,Product_Remicade,Product_Remsima,Product_Stelara,Product_Zessly
0,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,238.0,1048818.4,1001.0,2010-01,0,0,0,1,0,0,0,1,0,0,0
1,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,206.0,907800.8,1002.0,2010-02,0,0,0,1,0,0,0,1,0,0,0
2,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,8.0,64668.4,1003.0,2010-03,0,0,0,1,0,1,0,0,0,0,0
3,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,350.0,1542380.0,1003.0,2010-03,0,0,0,1,0,0,0,1,0,0,0
4,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,18.0,145503.9,1004.0,2010-04,0,0,0,1,0,1,0,0,0,0,0
5,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,320.0,1410176.0,1004.0,2010-04,0,0,0,1,0,0,0,1,0,0,0
6,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,10.0,80835.5,1005.0,2010-05,0,0,0,1,0,1,0,0,0,0,0
7,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,220.0,969496.0,1005.0,2010-05,0,0,0,1,0,0,0,1,0,0,0
8,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,10.0,80835.5,1006.0,2010-06,0,0,0,1,0,1,0,0,0,0,0
9,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,470.0,2071196.0,1006.0,2010-06,0,0,0,1,0,0,0,1,0,0,0
10,0,0,4070 Sjællands Universitetshospital. Roskilde,1  eng. spr. a 1 ml,1.0,90.0,2,2.0,54149.24,1006.0,2010-06,0,0,0,1,0,0,0,0,0,1,0
11,0,0,4070 Sjællands Universitetshospital. Roskilde,1 stk.  (0.5 ml),1.0,45.0,2,5.0,135373.1,1006.0,2010-06,0,0,0,1,0,0,0,0,0,1,0
12,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,10.0,80835.5,1007.0,2010-07,0,0,0,1,0,1,0,0,0,0,0
13,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,240.0,1057632.0,1007.0,2010-07,0,0,0,1,0,0,0,1,0,0,0
14,0,0,4070 Sjællands Universitetshospital. Roskilde,1  eng. spr. a 1 ml,1.0,90.0,2,3.0,81223.86,1007.0,2010-07,0,0,0,1,0,0,0,0,0,1,0
15,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,10.0,80835.5,1008.0,2010-08,0,0,0,1,0,1,0,0,0,0,0
16,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,350.0,1542380.0,1008.0,2010-08,0,0,0,1,0,0,0,1,0,0,0
17,0,0,4070 Sjællands Universitetshospital. Roskilde,1  eng. spr. a 1 ml,1.0,90.0,2,1.0,27074.62,1008.0,2010-08,0,0,0,1,0,0,0,0,0,1,0
18,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,240.0,1057632.0,1009.0,2010-09,0,0,0,1,0,0,0,1,0,0,0
19,0,0,4070 Sjællands Universitetshospital. Roskilde,1  eng. spr. a 1 ml,1.0,90.0,2,3.0,81223.86,1009.0,2010-09,0,0,0,1,0,0,0,0,0,1,0
20,0,0,4070 Sjællands Universitetshospital. Roskilde,1 stk.  (0.5 ml),1.0,45.0,2,1.0,27074.62,1009.0,2010-09,0,0,0,1,0,0,0,0,0,1,0
21,0,0,4070 Sjællands Universitetshospital. Roskilde,2 stk.,2.0,200.0,1,8.0,64668.4,1010.0,2010-10,0,0,0,1,0,1,0,0,0,0,0
22,0,0,4070 Sjællands Universitetshospital. Roskilde,1 htgl. a 100 mg,100.0,100.0,0,300.0,1322040.0,1010.0,2010-10,0,0,0,1,0,0,0,1,0,0,0
